"All Antimicrobial Agents
List of all antimicrobial agents used in DOT Calculator",,,,,,,,"All Drug Product Doses
List of available antimicrobial agents and doses used in Drug Doses Calculator",,,,,,,,,"All Drug Products
Full list of available antimicrobial agents, doses, and formulations used in Drug Product Calculator ",,,,,,,,,,Drug Frequency Conversions,,,Distance Comparisons,,,,Drug Doses per Day,
Ceftaroline,IV,Landfill,0.0000100525267,0.0000301575800,0.129,0.386,,Caspofungin,IV,Landfill,70 mg,0.0000157622917,0.0000157622917,0.211,0.211,,Aztreonam,IV,Landfill,1 g,mini-bag plus,0.0000088953807,0.0000266861422,0.098,0.293,,,,,7,8,Yosemite Valley Length,,Ceftaroline,3
Ceftazidime,IV,Landfill,0.0000132476073,0.0000397428219,0.153,0.460,,Cefazolin,IV,Landfill,1 g,0.0000053291067,0.0000159873201,0.062,0.185,,Aztreonam,IV,Landfill,2 g,mini-bag plus,0.0000099707605,0.0000299122816,0.114,0.342,,,,,8,10,Average Car Trip Distance,,Ceftazidime,3
Ceftazidime-avibactam,IV,Landfill,0.0000099874627,0.0000299623882,0.126,0.377,,Cefazolin,IV,Landfill,2 g,0.0000088688042,0.0000266064125,0.076,0.228,,Caspofungin,IV,Landfill,70 mg,locally compounded,0.0000157622917,0.0000157622917,0.211,0.211,,,,,10,13,Manhatten → Brooklyn ,,Ceftazidime-avibactam,3
Ceftolozane-tazobactam,IV,Landfill,0.0000123411970,0.0000370235910,0.135,0.404,,Cefazolin,IV,Landfill,3 g,0.0000092539624,0.0000092539624,0.209,0.209,,Cefazolin,IV,Landfill,1 g,locally compounded,0.0000029203918,0.0000087611755,0.066,0.198,,,,,13,14,Manhattan Length,,Ceftolozane-tazobactam,3
Ceftriaxone,IV,Landfill,0.0000110107340,0.0000110107340,0.172,0.172,,Cefepime,IV,Landfill,1 g,0.0000084642692,0.0000253928075,0.084,0.253,,Cefazolin,IV,Landfill,2 g,locally compounded,0.0000043538734,0.0000130616203,0.087,0.262,,,,,14,16,San Francisco → Oakland,,Ceftriaxone,1
Cefuroxime,IV,Landfill,0.0000092487738,0.0000184975475,0.146,0.292,,Cefepime,IV,Landfill,2 g,0.0000112916338,0.0000338749015,0.088,0.264,,Cefazolin,IV,Landfill,3 g,locally compounded,0.0000092539624,0.0000092539624,0.209,0.209,,,,,16,20,Niagara Falls → Buffalo,,Cefuroxime,2
Ciprofloxacin,IV,Landfill,0.0000145690920,0.0000291381840,0.094,0.189,,Cefiderocol,IV,Landfill,1000 mg,0.0000103345927,0.0000310037782,0.120,0.359,,Cefazolin,IV,Landfill,1 g,frozen premix,0.0000077378216,0.0000232134647,0.057,0.172,,,,,20,22,English Channel Swim Distance,,Ciprofloxacin,2
Clindamycin,IV,Landfill,0.0000077047616,0.0000231142847,0.056,0.167,,Cefiderocol,IV,Landfill,2000 mg,0.0000144805922,0.0000434417767,0.112,0.336,,Cefazolin,IV,Landfill,2 g,frozen premix,0.0000133837349,0.0000401512047,0.064,0.193,,,,,22,25,Grand Canyon Rim-to-Rim Hike,,Clindamycin,3
Colistimethate,IV,Landfill,0.0000125178109,0.0000250356217,0.140,0.279,,Cefoxitin,IV,Landfill,1000 mg,0.0000103089850,0.0000412359400,0.124,0.497,,Cefepime,IV,Landfill,1 g,mini-bag plus,0.0000091907167,0.0000275721502,0.111,0.334,,,,,25,26,Chicago → O'Hare International Airport ,,Colistimethate,2
Daptomycin,IV,Landfill,0.0000206897010,0.0000206897010,0.239,0.239,,Cefoxitin,IV,Landfill,2000 mg,0.0000096201432,0.0000384805727,0.115,0.459,,Cefepime,IV,Landfill,2 g,mini-bag plus,0.0000091995327,0.0000275985982,0.112,0.335,,,,,26,27,Marathon Race Distance,,Daptomycin,1
Doxycycline,IV,Landfill,0.0000101100442,0.0000202200883,0.133,0.265,,Ceftaroline,IV,Landfill,600 mg,0.0000100525267,0.0000301575800,0.129,0.386,,Cefepime,IV,Landfill,1 g,frozen premix,0.0000077378216,0.0000232134647,0.057,0.172,,,,,27,31,San Francisco → Palo Alto,,Doxycycline,2
Ertapenem,IV,Landfill,0.0000110432120,0.0000110432120,0.206,0.206,,Ceftazidime,IV,Landfill,1000 mg,0.0000137332526,0.0000411997577,0.161,0.482,,Cefepime,IV,Landfill,2 g,frozen premix,0.0000133837349,0.0000401512047,0.064,0.193,,,,,31,35,Average Tour de France Daily Stage Distance,,Ertapenem,1
Erythromycin,IV,Landfill,0.0000077879580,0.0000311518319,0.103,0.412,,Ceftazidime,IV,Landfill,2000 mg,0.0000130047847,0.0000390143540,0.149,0.448,,Cefiderocol,IV,Landfill,1000 mg,locally compounded,0.0000103345927,0.0000310037782,0.120,0.359,,,,,35,38,San Francisco → Napa Valley,,Erythromycin,4
Fluconazole,IV,Landfill,0.0000460988089,0.0000460988089,0.188,0.188,,Ceftazidime-avibactam,IV,Landfill,2.5 g,0.0000099874627,0.0000299623882,0.126,0.377,,Cefiderocol,IV,Landfill,2000 mg,locally compounded,0.0000144805922,0.0000434417767,0.112,0.336,,,,,38,42,"Washington, D.C. → Dulles International Airport ",,Fluconazole,1
Ganciclovir,IV,Landfill,0.0000120323799,0.0000240647597,0.131,0.261,,Ceftolozane-tazobactam,IV,Landfill,1.5 g,0.0000099841567,0.0000299524702,0.125,0.376,,Cefoxitin,IV,Landfill,1000 mg,locally compounded,0.0000103089850,0.0000412359400,0.124,0.497,,,,,42,46,Los Angeles → Anaheim,,Ganciclovir,2
Gentamicin,IV,Landfill,0.0000083082351,0.0000249247054,0.121,0.364,,Ceftolozane-tazobactam,IV,Landfill,3 g,0.0000170552775,0.0000511658325,0.153,0.458,,Cefoxitin,IV,Landfill,2000 mg,locally compounded,0.0000103728092,0.0000414912367,0.127,0.508,,,,,46,50,Boston → Providence,,Gentamicin,3
Imipenem-cilastatin,IV,Landfill,0.0000208288607,0.0000833154427,0.199,0.797,,Ceftriaxone,IV,Landfill,1 g,0.0000113223796,0.0000113223796,0.168,0.168,,Cefoxitin,IV,Landfill,2000 mg,mini-bag plus,0.0000088674772,0.0000354699087,0.102,0.409,,,,,50,52,Torres del Paine W Circuit,,Imipenem-cilastatin,4
Isavuconazonium,IV,Landfill,0.0000372358637,0.0000372358637,0.226,0.226,,Ceftriaxone,IV,Landfill,2 g,0.0000106990884,0.0000106990884,0.176,0.176,,Ceftaroline,IV,Landfill,600 mg,locally compounded,0.0000108790726,0.0000326372177,0.144,0.433,,,,,52,55,Great Smoky Mountains Length,,Isavuconazonium,1
Levofloxacin,IV,Landfill,0.0000250961215,0.0000250961215,0.170,0.170,,Cefuroxime,IV,Landfill,750 mg,0.0000096857168,0.0000193714335,0.144,0.288,,Ceftaroline,IV,Landfill,600 mg,mini-bag plus,0.0000092259807,0.0000276779422,0.113,0.338,,,,,55,60,New York City → New Haven,,Levofloxacin,1
Linezolid,IV,Landfill,0.0000539719102,0.0001079438203,0.138,0.277,,Cefuroxime,IV,Landfill,1500 mg,0.0000088118308,0.0000176236615,0.148,0.295,,Ceftazidime,IV,Landfill,1000 mg,locally compounded,0.0000137332526,0.0000411997577,0.161,0.482,,,,,60,70,African Savannah Elephant Seasonal Range,,Linezolid,2
Meropenem,IV,Landfill,0.0000103238861,0.0000309716583,0.148,0.444,,Ciprofloxacin,IV,Landfill,400 mg,0.0000145690920,0.0000291381840,0.094,0.189,,Ceftazidime,IV,Landfill,2000 mg,locally compounded,0.0000137332526,0.0000411997577,0.161,0.482,,,,,70,80,London → Oxford,,Meropenem,3
Meropenem-vaborbactam,IV,Landfill,0.0000204385552,0.0000613156657,0.274,0.821,,Clindamycin,IV,Landfill,300 mg,0.0000077047616,0.0000231142847,0.056,0.167,,Ceftazidime,IV,Landfill,2000 mg,mini-bag plus,0.0000122763167,0.0000368289502,0.138,0.414,,,,,80,81,New Orleans → Baton Rouge,,Meropenem-vaborbactam,3
Metronidazole,IV,Landfill,0.0000222528513,0.0000667585539,0.087,0.261,,Clindamycin,IV,Landfill,600 mg,0.0000077047616,0.0000231142847,0.056,0.167,,Ceftazidime-avibactam,IV,Landfill,2.5 g,locally compounded,0.0000107401287,0.0000322203862,0.138,0.414,,,,,81,82,Mount Everest Base Camp Trek,,Metronidazole,3
Micafungin,IV,Landfill,0.0000082270912,0.0000082270912,0.195,0.195,,Clindamycin,IV,Landfill,900 mg,0.0000077047616,0.0000231142847,0.056,0.167,,Ceftazidime-avibactam,IV,Landfill,2.5 g,mini-bag plus,0.0000092347967,0.0000277043902,0.113,0.340,,,,,82,90,Philadelphia → Newark,,Micafungin,1
Minocycline,IV,Landfill,0.0000083048649,0.0000166097297,0.131,0.263,,Colistimethate,IV,Landfill,150 mg,0.0000125178109,0.0000250356217,0.140,0.279,,Ceftolozane-tazobactam,IV,Landfill,1.5 g,locally compounded,0.0000107368227,0.0000322104682,0.138,0.414,,,,,90,105,New York City → Philadelphia,,Minocycline,2
Nafcillin,IV,Landfill,0.0000093334533,0.0000560007197,0.054,0.325,,Daptomycin,IV,Landfill,500 mg,0.0000177038320,0.0000177038320,0.223,0.223,,Ceftolozane-tazobactam,IV,Landfill,1.5 g,mini-bag plus,0.0000092314907,0.0000276944722,0.113,0.339,,,,,105,115,Puerto Rico East → West Distance,,Nafcillin,6
Penicillin,IV,Landfill,0.0000069943665,0.0000419661987,0.035,0.210,,Daptomycin,IV,Landfill,750 mg,0.0000236755700,0.0000236755700,0.255,0.255,,Ceftolozane-tazobactam,IV,Landfill,3 g,locally compounded,0.0000170552775,0.0000511658325,0.153,0.458,,,,,115,135,Los Angeles → San Diego,,Penicillin,6
Pentamidine,IV,Landfill,0.0000149881367,0.0000149881367,0.176,0.176,,Doxycycline,IV,Landfill,100 mg,0.0000101100442,0.0000202200883,0.133,0.265,,Ceftriaxone,IV,Landfill,1 g,mini-bag plus,0.0000119331172,0.0000119331172,0.190,0.190,,,,,135,140,Death Valley Length,,Pentamidine,1
Piperacillin-tazobactam,IV,Landfill,0.0000092480651,0.0000369922605,0.048,0.194,,Ertapenem,IV,Landfill,500 mg,0.0000119067610,0.0000119067610,0.212,0.212,,Ceftriaxone,IV,Landfill,2 g,mini-bag plus,0.0000106865348,0.0000106865348,0.206,0.206,,,,,140,165,Washington D.C. → Philadelphia,,Piperacillin-tazobactam,4
Posaconazole,IV,Landfill,0.0000149209606,0.0000149209606,0.227,0.227,,Ertapenem,IV,Landfill,1 g,0.0000101796630,0.0000101796630,0.199,0.199,,Ceftriaxone,IV,Landfill,1 g,frozen premix,0.0000107116420,0.0000107116420,0.146,0.146,,,,,165,185,Atlanta → Chattanooga,,Posaconazole,1
Remdesivir,IV,Landfill,0.0000421235092,0.0000421235092,0.271,0.271,,Erythromycin,IV,Landfill,500 mg,0.0000077879580,0.0000311518319,0.103,0.412,,Ceftriaxone,IV,Landfill,2 g,frozen premix,0.0000107116420,0.0000107116420,0.146,0.146,,,,,185,200,"Washington, D.C. → Cleveland",,Remdesivir,1
Rifampin,IV,Landfill,0.0000179195210,0.0000537585630,0.131,0.393,,Fluconazole,IV,Landfill,200 mg,0.0000217802035,0.0000217802035,0.162,0.162,,Cefuroxime,IV,Landfill,750 mg,mini-bag plus,0.0000097666679,0.0000195333357,0.126,0.252,,,,,200,210,Chicago → Indianapolis,,Rifampin,3
Sulfamethoxazole-trimethoprim,IV,Landfill,0.0000162990759,0.0000488972277,0.151,0.453,,Fluconazole,IV,Landfill,400 mg,0.0000704174143,0.0000704174143,0.213,0.213,,Cefuroxime,IV,Landfill,750 mg,locally compounded,0.0000096047657,0.0000192095314,0.162,0.324,,,,,210,215,London → Paris,,Sulfamethoxazole-trimethoprim,3
Tigecycline,IV,Landfill,0.0000088219784,0.0000176439567,0.125,0.251,,Ganciclovir,IV,Landfill,225 mg,0.0000120323799,0.0000240647597,0.131,0.261,,Cefuroxime,IV,Landfill,1500 mg,locally compounded,0.0000096246017,0.0000192492034,0.163,0.326,,,,,215,225,New York City → Boston,,Tigecycline,2
Vancomycin,IV,Landfill,0.0000128240743,0.0000256481485,0.130,0.259,,Gentamicin,IV,Landfill,400 mg,0.0000083082351,0.0000249247054,0.121,0.364,,Cefuroxime,IV,Landfill,1500 mg,mini-bag plus,0.0000079990599,0.0000159981197,0.133,0.265,,,,,225,260,"New York City → Washington, D.C.",,Vancomycin,2
Acyclovir,IV,Incinerate,0.0002367154222,0.0007101462667,0.115,0.346,,Imipenem-cilastatin,IV,Landfill,1000 mg,0.0000208288607,0.0000833154427,0.199,0.797,,Ciprofloxacin,IV,Landfill,400 mg,premix,0.0000145690920,0.0000291381840,0.094,0.189,,,,,260,275,Grand Canyon Length,,,
Amikacin,IV,Incinerate,0.0001553152739,0.0004659458217,0.098,0.295,,Isavuconazonium,IV,Landfill,372 mg,0.0000372358637,0.0000372358637,0.226,0.226,,Clindamycin,IV,Landfill,300 mg,premix,0.0000077047616,0.0000231142847,0.056,0.167,,,,,275,300,Chicago → Indianapolis,,,
Amphotericin B liposomal (Ambisome),IV,Incinerate,0.0009593156297,0.0009593156297,0.792,0.792,,Levofloxacin,IV,Landfill,250 mg,0.0000250682042,0.0000250682042,0.169,0.169,,Clindamycin,IV,Landfill,600 mg,premix,0.0000077047616,0.0000231142847,0.056,0.167,,,,,300,350,Chicago → St. Louis,,,
Ampicillin,IV,Incinerate,0.0000986671292,0.0005920027752,0.089,0.531,,Levofloxacin,IV,Landfill,500 mg,0.0000250673226,0.0000250673226,0.169,0.169,,Clindamycin,IV,Landfill,900 mg,premix,0.0000077047616,0.0000231142847,0.056,0.167,,,,,350,375,New York City → Pittsburgh,,,
Ampicillin-sulbactam,IV,Incinerate,0.0001179960577,0.0004719842307,0.092,0.367,,Levofloxacin,IV,Landfill,750 mg,0.0000251528378,0.0000251528378,0.172,0.172,,Colistimethate,IV,Landfill,150 mg,locally compounded,0.0000125178109,0.0000250356217,0.140,0.279,,,,,375,400,Los Angeles → San Francisco,,,
Azithromycin,IV,Incinerate,0.0003222207777,0.0003222207777,0.195,0.195,,Linezolid,IV,Landfill,600 mg,0.0000539719102,0.0001079438203,0.138,0.277,,Daptomycin,IV,Landfill,500 mg,locally compounded,0.0000177038320,0.0000177038320,0.223,0.223,,,,,400,420,Denver → Kansas City,,,
Aztreonam,IV,Incinerate,0.0001632400467,0.0004897201401,0.111,0.332,,Meropenem,IV,Landfill,500 mg,0.0000080568620,0.0000241705861,0.111,0.333,,Daptomycin,IV,Landfill,750 mg,locally compounded,0.0000236755700,0.0000236755700,0.255,0.255,,,,,420,430,San Francisco → Portland,,,
Caspofungin,IV,Incinerate,0.0003662561467,0.0003662561467,0.211,0.211,,Meropenem,IV,Landfill,1 g,0.0000086948649,0.0000260845948,0.118,0.354,,Doxycycline,IV,Landfill,100 mg,locally compounded,0.0000111513309,0.0000223026617,0.136,0.273,,,,,430,450,Dallas → New Orleans,,,
Cefazolin,IV,Incinerate,0.0001729682303,0.0003694712280,0.097,0.207,,Meropenem,IV,Landfill,2 g,0.0000122719087,0.0000368157262,0.181,0.544,,Doxycycline,IV,Landfill,100 mg,mini-bag plus,0.0000090687575,0.0000181375150,0.129,0.258,,,,,450,500,Rome → Vienna,,,
Cefepime,IV,Incinerate,0.0001144940257,0.0003434820770,0.086,0.258,,Meropenem-vaborbactam,IV,Landfill,4 g,0.0000204385552,0.0000613156657,0.274,0.821,,Ertapenem,IV,Landfill,500 mg,locally compounded,0.0000119067610,0.0000119067610,0.212,0.212,,,,,500,540,Paris → Berlin,,,
Cefiderocol,IV,Incinerate,0.0001906371289,0.0005719113867,0.116,0.347,,Metronidazole,IV,Landfill,500 mg,0.0000222528513,0.0000667585539,0.087,0.261,,Ertapenem,IV,Landfill,1 g,mini-bag plus,0.0000101796630,0.0000101796630,0.199,0.199,,,,,540,550,Spain North → South Distance,,,
Cefoxitin,IV,Incinerate,0.0001695294041,0.0006781176163,0.118,0.471,,Micafungin,IV,Landfill,100 mg,0.0000082270912,0.0000082270912,0.195,0.195,,Erythromycin,IV,Landfill,500 mg,locally compounded,0.0000077879580,0.0000311518319,0.103,0.412,,,,,550,600,Mainland France North → South Distance,,,
Ceftaroline,IV,Incinerate,0.0001883343162,0.0005650029487,0.129,0.386,,Minocycline,IV,Landfill,100 mg,0.0000070264071,0.0000140528142,0.123,0.247,,Fluconazole,IV,Landfill,200 mg,premix,0.0000217802035,0.0000217802035,0.162,0.162,,,,,600,620,Denali National Park Perimeter ,,,
Ceftazidime,IV,Incinerate,0.0001888439300,0.0005665317900,0.153,0.460,,Minocycline,IV,Landfill,200 mg,0.0000108617804,0.0000217235607,0.147,0.294,,Fluconazole,IV,Landfill,400 mg,premix,0.0000704174143,0.0000704174143,0.213,0.213,,,,,620,650,New York City → Detroit,,,
Ceftazidime-avibactam,IV,Incinerate,0.0001771458939,0.0005314376817,0.126,0.377,,Nafcillin,IV,Landfill,2 g,0.0000105029967,0.0000630179802,0.064,0.382,,Ganciclovir,IV,Landfill,225 mg,locally compounded,0.0000120323799,0.0000240647597,0.131,0.261,,,,,650,670,Atlanta → Dallas,,,
Ceftolozane-tazobactam,IV,Incinerate,0.0001694070989,0.0005082212967,0.135,0.404,,Nafcillin,IV,Landfill,1 g,0.0000069943665,0.0000419661987,0.035,0.210,,Gentamicin,IV,Landfill,400 mg,locally compounded,0.0000083082351,0.0000249247054,0.121,0.364,,,,,670,690,Seattle → San Francisco,,,
Ceftriaxone,IV,Incinerate,0.0002720793185,0.0002720793185,0.172,0.172,,Penicillin G ,IV,Landfill,3 million units,0.0000069943665,0.0000419661987,0.035,0.210,,Imipenem-cilastatin,IV,Landfill,1000 mg,locally compounded,0.0000208288607,0.0000833154427,0.199,0.797,,,,,690,710,"Chicago → Washington, D.C.",,,
Cefuroxime,IV,Incinerate,0.0002253044602,0.0004506089204,0.146,0.292,,Pentamidine,IV,Landfill,300 mg,0.0000149881367,0.0000149881367,0.176,0.176,,Isavuconazonium,IV,Landfill,372 mg,locally compounded,0.0000372358637,0.0000372358637,0.226,0.226,,,,,710,730,New York City → Chicago,,,
Ciprofloxacin,IV,Incinerate,0.0001426453687,0.0002852907374,0.094,0.189,,Piperacillin-tazobactam,IV,Landfill,2.25 g,0.0000073660940,0.0000294643760,0.046,0.184,,Levofloxacin,IV,Landfill,250 mg,premix,0.0000250682042,0.0000250682042,0.169,0.169,,,,,730,750,"Washington, D.C. → St. Louis",,,
Clindamycin,IV,Incinerate,0.0000874129726,0.0002622389177,0.056,0.167,,Piperacillin-tazobactam,IV,Landfill,3.375 g,0.0000073660940,0.0000294643760,0.046,0.184,,Levofloxacin,IV,Landfill,500 mg,premix,0.0000250673226,0.0000250673226,0.169,0.169,,,,,750,775,Madrid → Paris,,,
Colistimethate,IV,Incinerate,0.0002440626124,0.0004881252247,0.140,0.279,,Piperacillin-tazobactam,IV,Landfill,4.5 g,0.0000130120073,0.0000520480294,0.053,0.213,,Levofloxacin,IV,Landfill,750 mg,premix,0.0000251528378,0.0000251528378,0.172,0.172,,,,,775,790,Denver → Dallas,,,
Daptomycin,IV,Incinerate,0.0004142897554,0.0004142897554,0.239,0.239,,Posaconazole,IV,Landfill,300 mg,0.0000149209606,0.0000149209606,0.227,0.227,,Linezolid,IV,Landfill,600 mg,premix,0.0000539719102,0.0001079438203,0.138,0.277,,,,,790,810,London → Prague,,,
Doxycycline,IV,Incinerate,0.0001849371441,0.0003698742882,0.133,0.265,,Remdesivir,IV,Landfill,100 mg,0.0000330809105,0.0000330809105,0.244,0.244,,Meropenem,IV,Landfill,500 mg,mini-bag plus,0.0000080568620,0.0000241705861,0.111,0.333,,,,,810,840,California Coastline Length,,,
Ertapenem,IV,Incinerate,0.0003177740929,0.0003177740929,0.206,0.206,,Remdesivir,IV,Landfill,200 mg,0.0000602087067,0.0000602087067,0.325,0.325,,Meropenem,IV,Landfill,1 g,mini-bag plus,0.0000086948649,0.0000260845948,0.118,0.354,,,,,840,880,Rome → Berlin,,,
Erythromycin,IV,Incinerate,0.0001751162992,0.0007004651967,0.103,0.412,,Rifampin,IV,Landfill,600 mg,0.0000179195210,0.0000537585630,0.131,0.393,,Meropenem,IV,Landfill,2 g,locally compounded,0.0000148197327,0.0000444591982,0.227,0.682,,,,,880,900,Minneaoplis → Denver,,,
Fluconazole,IV,Incinerate,0.0002631809073,0.0002631809073,0.188,0.188,,Sulfamethoxazole-trimethoprim,IV,Landfill,2000 mg-400 mg,0.0000162990759,0.0000488972277,0.151,0.453,,Meropenem,IV,Landfill,2 g,mini-bag plus,0.0000097240847,0.0000291722542,0.135,0.406,,,,,900,930,Chicago → Dallas,,,
Ganciclovir,IV,Incinerate,0.0002236067374,0.0004472134747,0.131,0.261,,Tigecycline,IV,Landfill,50 mg,0.0000088219784,0.0000176439567,0.125,0.251,,Meropenem-vaborbactam,IV,Landfill,4 g,locally compounded,0.0000204385552,0.0000613156657,0.274,0.821,,,,,930,950,Paris → Warsaw,,,
Gentamicin,IV,Incinerate,0.0001750965596,0.0005252896788,0.121,0.364,,Vancomycin,IV,Landfill,500 mg,0.0000133085877,0.0000266171754,0.092,0.184,,Metronidazole,IV,Landfill,500 mg,premix,0.0000222528513,0.0000667585539,0.087,0.261,,,,,950,975,Seattle → San Francisco,,,
Imipenem-cilastatin,IV,Incinerate,0.0002778353722,0.0011113414887,0.199,0.797,,Vancomycin,IV,Landfill,750 mg,0.0000151349054,0.0000302698109,0.108,0.216,,Micafungin,IV,Landfill,100 mg,locally compounded,0.0000082270912,0.0000082270912,0.195,0.195,,,,,975,990,New York City → Orlando,,,
Isavuconazonium,IV,Incinerate,0.0003430033957,0.0003430033957,0.226,0.226,,Vancomycin,IV,Landfill,1 g,0.0000150523190,0.0000301046380,0.110,0.220,,Minocycline,IV,Landfill,100 mg,mini-bag plus,0.0000063052859,0.0000126105717,0.112,0.225,,,,,990,1010,Boston → St. Louis,,,
Levofloxacin,IV,Incinerate,0.0002638396094,0.0002638396094,0.170,0.170,,Vancomycin,IV,Landfill,1250 mg,0.0000107599142,0.0000215198285,0.164,0.328,,Minocycline,IV,Landfill,100 mg,locally compounded,0.0000077475284,0.0000154950567,0.134,0.268,,,,,1010,1050,Cairo → Athens,,,
Linezolid,IV,Incinerate,0.0001565750528,0.0003131501055,0.138,0.277,,Vancomycin,IV,Landfill,1500 mg,0.0000111355618,0.0000222711235,0.175,0.351,,Minocycline,IV,Landfill,200 mg,locally compounded,0.0000108617804,0.0000217235607,0.147,0.294,,,,,1050,1200,"Miami → Washington, D.C.",,,
